DUMMY1/000001.wav|0|bist vˈa tʃˈɑhɑr, tɑː henɡˈɑmi kˈeː beː rˈuːzi tˈo mˈohtɑdʒ ʃˈodam vˈa az fˌariˈɑdrasˌi fˈazlat binˈijɑz nˈabuːdˌam.az ziˈɑdi xordˈani vˈa ˈɑʃˈɑmidˌani kˈeː barˈɑje kanˈizat moq1ˈarrar farmˈuːdeː bˈuːdi, barˈɑjam xorˈɑk q1arˈɑr dˈɑdi.hamˈɑn, mɑdˈari, kˈeː marˈɑ dˈar dˈarun ˈuː dʒɑj dˈɑdi vˈa marˈɑ dˈar q1arˈɑrɡˈɑh rˈahm ˈuː sˈepordˌi
DUMMY1/000002.wav|0|ɹᵻsˈiːvd æt θɹˈiː θˈɜːɾifˈɔːɹ pˈiːʲ ˈɛm
DUMMY1/000003.wav|0|vjˈuːd ˈeɪt θˈaʊzənd sˈɛvən hˈʌndɹɪd sˈɪkstisˈɛvən tˈaɪmz
DUMMY1/000004.wav|0|ˈamir hˈosejn
DUMMY1/000005.wav|0|mˈeq1dɑr nˈɑm, jˈek rˈeʃteː mˈatni
DUMMY1/000006.wav|0|dˈoɑ barˈɑje xod vˈa dˈustɑn vˈa nˈazdikˌɑn
DUMMY1/000007.wav|0|ˈeɪ
DUMMY1/000008.wav|0|ˈaːt sˈɑjnsˈɪɹiən kˈɑːbɑːɹ
DUMMY1/000009.wav|0|sˈɛnt æt fˈaɪv fˈɪftiθɹˈiː pˈiːʲ ˈɛm, sˈiːn
DUMMY1/000010.wav|0|mˈɑːdəl, pˌardɑzˈande ɡˈuːʃi ʃˈomɑ sˈi vˈa dˈo bˈejteː jɑː ʃˈast vˈa tʃˈɑhɑr bˈejt?, ɐnˈɑːnəməs pˈoʊl
DUMMY1/000011.wav|0|jˈekomˌi q1azˈije dˈɑrak ʃˈod surˈatak mˌotefˈakker surˈatak ɡˈidʒ tˈaq1simbˌar sarɡˈidʒeː kˈaf dˈast hˈɑje bˈɑz
DUMMY1/000012.wav|0|ˈaːnq1adˌar xˈuːb mixˈuːneː kˈeː dˈɑram lˈezzat mibˈaram surˈatak bɑ lˈabxand dʒozˈii
